category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Cancer: overview	hsa05208	Chemical carcinogenesis - reactive oxygen species	0/63	225/8790	0	0	-1.29102631440492	1	1	1		0
Human Diseases	Cancer: specific types	hsa05210	Colorectal cancer	0/63	87/8790	0	0	-0.796402571277966	1	1	1		0
Human Diseases	Cancer: specific types	hsa05211	Renal cell carcinoma	0/63	69/8790	0	0	-0.708514791107153	1	1	1		0
Human Diseases	Cancer: specific types	hsa05212	Pancreatic cancer	0/63	77/8790	0	0	-0.748805498103943	1	1	1		0
Human Diseases	Cancer: specific types	hsa05213	Endometrial cancer	0/63	59/8790	0	0	-0.654789234802633	1	1	1		0
Human Diseases	Cancer: specific types	hsa05216	Thyroid cancer	0/63	37/8790	0	0	-0.517880927080613	1	1	1		0
Human Diseases	Cancer: specific types	hsa05217	Basal cell carcinoma	0/63	63/8790	0	0	-0.676776555513082	1	1	1		0
Human Diseases	Cancer: specific types	hsa05218	Melanoma	0/63	73/8790	0	0	-0.728929331204551	1	1	1		0
Human Diseases	Cancer: specific types	hsa05220	Chronic myeloid leukemia	0/63	77/8790	0	0	-0.748805498103943	1	1	1		0
Human Diseases	Cancer: specific types	hsa05221	Acute myeloid leukemia	0/63	68/8790	0	0	-0.703321565584276	1	1	1		0
Human Diseases	Cancer: specific types	hsa05222	Small cell lung cancer	0/63	93/8790	0	0	-0.823690881455163	1	1	1		0
Human Diseases	Cancer: specific types	hsa05223	Non-small cell lung cancer	0/63	73/8790	0	0	-0.728929331204551	1	1	1		0
Human Diseases	Cancer: overview	hsa05230	Central carbon metabolism in cancer	0/63	71/8790	0	0	-0.718792198026071	1	1	1		0
Human Diseases	Cancer: overview	hsa05231	Choline metabolism in cancer	0/63	99/8790	0	0	-0.850139590167111	1	1	1		0
Human Diseases	Cancer: overview	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	0/63	90/8790	0	0	-0.810156922773768	1	1	1		0
Human Diseases	Immune disease	hsa05310	Asthma	0/63	28/8790	0	0	-0.450282335740191	1	1	1		0
Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	0/63	50/8790	0	0	-0.602471912648792	1	1	1		0
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	0/63	63/8790	0	0	-0.676776555513082	1	1	1		0
Human Diseases	Immune disease	hsa05330	Allograft rejection	0/63	35/8790	0	0	-0.503632173056952	1	1	1		0
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	0/63	38/8790	0	0	-0.524862642701843	1	1	1		0
Human Diseases	Immune disease	hsa05340	Primary immunodeficiency	0/63	37/8790	0	0	-0.517880927080613	1	1	1		0
Human Diseases	Cardiovascular disease	hsa05410	Hypertrophic cardiomyopathy	0/63	99/8790	0	0	-0.850139590167111	1	1	1		0
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	0/63	86/8790	0	0	-0.791766829647516	1	1	1		0
Human Diseases	Cardiovascular disease	hsa05414	Dilated cardiomyopathy	0/63	104/8790	0	0	-0.871594088681901	1	1	1		0
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	0/63	205/8790	0	0	-1.23087598865645	1	1	1		0
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	0/63	66/8790	0	0	-0.692821981495195	1	1	1		0
