Gene_A	Gene_B	Score
SLC24A2	SH3GL2	0.459
CASKIN1	SH3GL2	0.525
SLC6A4	NPSR1	0.422
KRT6A	SERPINB5	0.436
SYT4	AQP4	0.408
GPM6A	AQP4	0.553
LGI3	AQP4	0.525
CMTM5	AQP4	0.413
GJB6	AQP4	0.622
DPP6	AQP4	0.624
IGF2BP1	TRIM71	0.4
ADAMTS8	ADAMTS20	0.909
FGF10	SHOX2	0.438
ADGRF4	ADGRA1	0.597
IL36G	IL36RN	0.942
MMP13	IL36RN	0.513
ABCA12	IL36RN	0.568
MMP3	IL36RN	0.469
MMP1	IL36RN	0.426
IL1RAPL2	IL36RN	0.508
APOBEC4	SYT12	0.44
ATP10B	DQX1	0.408
CPB2	F11	0.868
NR0B2	F11	0.476
GP9	F11	0.657
C8B	F11	0.604
CHRNB4	CHRNA2	0.937
CHRM1	CHRNA2	0.551
GPD1	AKR1B15	0.402
AKR1B10	AKR1B15	0.434
PCDH15	LHFPL3	0.894
SH3GL2	LHFPL3	0.412
GNGT1	CHRM2	0.808
SLC6A4	CHRM2	0.483
CHRNB4	CHRM2	0.546
CHRM1	CHRM2	0.815
ADH1B	CHRM2	0.412
EDN3	CHRM2	0.608
HTR3A	CHRM2	0.43
CHRNA2	CHRM2	0.699
ADCY8	PNCK	0.444
FABP4	MOGAT1	0.429
GPM6A	MOGAT1	0.444
NTNG1	CNTN6	0.434
FGF10	SP8	0.511
LHX2	SP8	0.434
ADCY8	TMEM132C	0.487
FREM3	TMEM132C	0.41
DMRTA2	TMEM132C	0.422
KISS1R	FEZF1	0.467
LHX5	FEZF1	0.42
OTX1	FEZF1	0.407
LHX2	FEZF1	0.43
MIOX	SLC25A48	0.54
NPSR1	SLC25A48	0.448
GPM6A	FAM107A	0.58
AQP4	FAM107A	0.443
ADH1B	AWAT2	0.659
PITX2	HELT	0.417
SP8	DLX6	0.445
SYT4	GRIA1	0.452
GPM6A	GRIA1	0.493
ADCY8	GRIA1	0.404
NETO1	GRIA1	0.473
SERPINB4	GRIA1	0.469
HTR3A	GRIA1	0.801
PTPN5	GRIA1	0.625
AQP4	GRIA1	0.451
SEC14L3	SBSN	0.431
GRHL3	SBSN	0.442
KRT16	SBSN	0.46
SPRR1B	SBSN	0.454
KRT6A	SBSN	0.451
IGF2BP1	HMGA2	0.632
TRIM71	HMGA2	0.465
MAGEA4	PRAME	0.696
TEKT1	FAM216B	0.453
HOXC13	HOXC11	0.656
HOXC10	HOXC11	0.638
TEKT1	ANKRD66	0.526
FAM216B	ANKRD66	0.676
RBP2	STRA6	0.707
FGF10	STRA6	0.608
HHIP	MMP12	0.415
MMP3	MMP12	0.517
GABRA3	GABRQ	0.723
NRG3	GABRQ	0.659
ADRA1A	GABRQ	0.453
CA9	MAGEA3	0.408
PRAME	MAGEA3	0.806
NEIL3	H2BC9	0.617
CENPA	H2BC9	0.731
FABP4	GPIHBP1	0.416
GPD1	GPIHBP1	0.584
PCDH15	USH1G	0.888
DMBX1	FADS6	0.556
USH1G	FADS6	0.807
PCDH15	PTPRQ	0.663
USH1G	PTPRQ	0.46
