Rank	Gene	Connections	Dataset
1	CYP24A1	1	LUAD
2	MNX1	1	LUAD
3	IL36RN	1	LUAD
4	MMP13	1	LUAD
5	ZYG11A	1	LUAD
6	CA9	1	LUAD
7	ONECUT1	1	LUAD
8	IL1RAPL2	1	LUAD
9	COL11A1	1	LUAD
10	PRAME	1	LUAD
