category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signal transduction	hsa04022	cGMP-PKG signaling pathway	4/142	165/8790	0.0242424242424242	1.50064020486556	0.831848442317419	0.276972246190486	1	1	148/810/779/114	4
Metabolism	Lipid metabolism	hsa00100	Steroid biosynthesis	1/142	20/8790	0.05	3.09507042253521	1.20190430512352	0.278258388514985	1	1	1591	1
Organismal Systems	Endocrine system	hsa04929	GnRH secretion	2/142	65/8790	0.0307692307692308	1.90465872156013	0.938025833025662	0.282836299402877	1	1	779/84634	2
Organismal Systems	Nervous system	hsa04724	Glutamatergic synapse	3/142	116/8790	0.0258620689655172	1.60089849441476	0.834788515203012	0.288705816733806	1	1	2890/2792/114	3
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	2/142	66/8790	0.0303030303030303	1.87580025608195	0.915114150867664	0.28884128858828	1	1	859/6445	2
Metabolism	Xenobiotics biodegradation and metabolism	hsa00982	Drug metabolism - cytochrome P450	2/142	67/8790	0.0298507462686567	1.84780323733445	0.892597363379852	0.294840813494032	1	1	125/1544	2
Human Diseases	Substance dependence	hsa05031	Amphetamine addiction	2/142	69/8790	0.0289855072463768	1.79424372320882	0.848694245376105	0.306817986800601	1	1	2890/810	2
Metabolism	Amino acid metabolism	hsa00220	Arginine biosynthesis	1/142	23/8790	0.0434782608695652	2.69136558481323	1.04071536909908	0.312756044733041	1	1	5009	1
Metabolism	Metabolism of terpenoids and polyketides	hsa00900	Terpenoid backbone biosynthesis	1/142	23/8790	0.0434782608695652	2.69136558481323	1.04071536909908	0.312756044733041	1	1	3158	1
Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	1/142	23/8790	0.0434782608695652	2.69136558481323	1.04071536909908	0.312756044733041	1	1	186	1
Organismal Systems	Excretory system	hsa04964	Proximal tubule bicarbonate reclamation	1/142	23/8790	0.0434782608695652	2.69136558481323	1.04071536909908	0.312756044733041	1	1	762	1
Organismal Systems	Endocrine system	hsa04920	Adipocytokine signaling pathway	2/142	70/8790	0.0285714285714286	1.76861167002012	0.827282458358796	0.312793005917557	1	1	6258/181	2
