ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0004745	all-trans-retinol dehydrogenase (NAD+) activity	1/270	20/18367	0.05	3.4012962962963	1.31239358006353	0.256467199264595	1	1	ADH1B	1
GO:0008525	phosphatidylcholine transporter activity	1/270	20/18367	0.05	3.4012962962963	1.31239358006353	0.256467199264595	1	1	ATP10B	1
GO:0016502	nucleotide receptor activity	1/270	20/18367	0.05	3.4012962962963	1.31239358006353	0.256467199264595	1	1	GPR87	1
GO:0015459	potassium channel regulator activity	2/270	67/18367	0.0298507462686567	2.03062465450525	1.0322817817695	0.258624549060434	1	1	CAV3/DPP6	2
GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	2/270	68/18367	0.0294117647058824	2.00076252723312	1.00985191141024	0.264082356301695	1	1	PGLYRP3/PGLYRP4	2
GO:0009975	cyclase activity	1/270	21/18367	0.0476190476190476	3.23932980599647	1.25413096923169	0.267409252799154	1	1	ADCY8	1
GO:0015377	chloride:monoatomic cation symporter activity	1/270	21/18367	0.0476190476190476	3.23932980599647	1.25413096923169	0.267409252799154	1	1	SLC6A4	1
GO:0016500	protein-hormone receptor activity	1/270	21/18367	0.0476190476190476	3.23932980599647	1.25413096923169	0.267409252799154	1	1	RXFP2	1
GO:0033038	bitter taste receptor activity	1/270	21/18367	0.0476190476190476	3.23932980599647	1.25413096923169	0.267409252799154	1	1	TAS2R2	1
GO:0055056	D-glucose transmembrane transporter activity	1/270	21/18367	0.0476190476190476	3.23932980599647	1.25413096923169	0.267409252799154	1	1	PPBP	1
GO:0008028	monocarboxylic acid transmembrane transporter activity	2/270	69/18367	0.0289855072463768	1.97176596886742	0.987802904163989	0.269540497412878	1	1	FABP4/SLC27A6	2
GO:0004029	aldehyde dehydrogenase (NAD+) activity	1/270	22/18367	0.0454545454545455	3.09208754208754	1.19927343727917	0.278190867415104	1	1	AKR1B10	1
GO:0005346	purine ribonucleotide transmembrane transporter activity	1/270	22/18367	0.0454545454545455	3.09208754208754	1.19927343727917	0.278190867415104	1	1	SLC46A2	1
GO:0015149	hexose transmembrane transporter activity	1/270	22/18367	0.0454545454545455	3.09208754208754	1.19927343727917	0.278190867415104	1	1	PPBP	1
GO:0070034	telomerase RNA binding	1/270	22/18367	0.0454545454545455	3.09208754208754	1.19927343727917	0.278190867415104	1	1	TERT	1
GO:0031406	carboxylic acid binding	4/270	182/18367	0.021978021978022	1.4950752950753	0.819853349218679	0.279591696327379	1	1	FABP4/RBP2/PLA2G1B/FOLR3	4
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	4/270	183/18367	0.0218579234972678	1.48690548471969	0.808558373454064	0.282862965182518	1	1	FADS6/CYP24A1/CYP17A1/CYP1A2	4
GO:0016798	hydrolase activity, acting on glycosyl bonds	3/270	126/18367	0.0238095238095238	1.61966490299824	0.85251833629832	0.282949634577932	1	1	NEIL3/IL1RAPL2/CHIA	3
GO:0042379	chemokine receptor binding	2/270	72/18367	0.0277777777777778	1.88960905349794	0.923815222528398	0.285905246975861	1	1	PF4/PPBP	2
GO:0043177	organic acid binding	4/270	184/18367	0.0217391304347826	1.47882447665056	0.797330474937897	0.286140104715558	1	1	FABP4/RBP2/PLA2G1B/FOLR3	4
