Gene	HR	HR_lower	HR_upper	P_value
COL11A1	0.870826029847326	0.724090427442408	1.04729733403356	0.141803375897887
MMP13	1.21037050055173	1.00590896368361	1.45639098715363	0.0431381530058618
CA9	0.880893970166804	0.732845413182189	1.05885112019296	0.176745261447147
PRAME	1.05778208107878	0.880086364634387	1.27135583053394	0.549398269484408
