Gene_A	Gene_B	Score
HHIP	FREM3	0.475
MMP3	COL11A1	0.443
MMP3	MMP12	0.764
MMP3	MMP1	0.985
CA4	CA9	0.666
GPD1	ADH1B	0.426
GPD1	GPIHBP1	0.556
LY6D	KRT16	0.495
KRT16	KLK6	0.469
KRT16	SERPINB4	0.48
KRT16	SBSN	0.489
KRT16	SPRR3	0.582
KRT16	SPRR1B	0.687
KRT16	KRT6A	0.928
LGI3	SFTPC	0.551
GP9	CMTM5	0.437
GP9	CAV3	0.542
GP9	F11	0.595
SPRR1B	SBSN	0.474
SPRR1B	KLK6	0.707
SPRR1B	KRT6A	0.882
SPRR1B	SPRR3	0.892
CHRM1	HTR3A	0.4
CHRM1	CHRNA2	0.597
CHRM1	EDN3	0.665
CHRM1	CHRM2	0.908
ADH1B	AKR1B10	0.44
ADH1B	CHRM2	0.614
ADH1B	AWAT2	0.905
HOXC10	HOXC11	0.871
TERT	SFTPC	0.478
TERT	OTX1	0.553
TERT	FOXE1	0.67
PLA2G1B	CYP1A2	0.672
NETO1	GRIA1	0.456
NETO1	NTNG1	0.536
CALML3	TRPM8	0.428
CALML3	MYH2	0.441
CALML3	CASKIN1	0.448
CALML3	PNCK	0.565
CALML3	GRIA1	0.581
CALML3	STRA6	0.8
CALML3	CACNA1S	0.902
CALML3	CAV3	0.943
SFTPC	CLDN18	0.621
SFTPC	AGTR2	0.634
SFTPC	AGER	0.87
CLEC4M	CD5L	0.423
CLEC4M	SCARA5	0.499
TUBB3	GRIA1	0.434
TUBB3	CENPA	0.439
TUBB3	POU4F1	0.46
CDC25C	CENPA	0.845
HBA1	GYPE	0.41
HBA1	ALAS2	0.717
HTR3C	GRIA1	0.573
HTR3C	HTR3A	0.993
MMP1	COL11A1	0.599
MMP1	MMP12	0.625
ITLN1	ITLN2	0.804
OVCH1	FAM216B	0.449
KCNA4	NPSR1	0.452
KCNA4	GRIA1	0.529
KCNA4	DPP6	0.684
GKN2	CLDN18	0.514
GKN2	MUCL3	0.54
GKN2	PGC	0.569
SPRR3	SBSN	0.423
SPRR3	KRT6A	0.7
FREM3	TMEM132C	0.484
FREM3	GYPE	0.729
TMEM212	FAM216B	0.575
ANGPTL5	ANGPTL7	0.467
CENPA	H2BC9	0.983
EDN3	RSPO1	0.412
EDN3	ADRA1A	0.466
EDN3	NPSR1	0.624
EDN3	CHRM2	0.65
EDN3	AGTR2	0.714
CLDN18	PGC	0.489
CLDN18	AGER	0.509
TEKT1	C1orf87	0.495
TEKT1	FAM216B	0.615
CAV3	ANKRD1	0.443
CAV3	CACNA1S	0.928
CYP1A2	CYP17A1	0.929
SERPINB4	KRT6A	0.425
SERPINB4	GRIA1	0.431
SERPINB4	PI16	0.432
SERPINB4	KLK6	0.464
SCARA5	PI16	0.4
HTR3A	GRIA1	0.814
GUCA2A	PGC	0.578
PTPN5	GRIA1	0.577
GYPE	ALAS2	0.667
AKR1B10	AKR1B15	0.597
RXRG	ZIC2	0.468
MAGEA4	MAGEA3	0.572
MAGEA4	PRAME	0.739
OR2W3	TRIM58	0.767
CACNA1S	PGC	0.485
CACNA1S	PPP2R2C	0.665
TRIM58	ALAS2	0.55
OTX1	LHX2	0.545
OR6K3	OR6N1	0.447
CHIA	PGC	0.459
GABRA3	GRIA1	0.584
GABRA3	GABRQ	0.771
C1orf87	FAM216B	0.489
ZYG11A	PRAME	0.618
AGTR2	CHRM2	0.553
AGTR2	NPSR1	0.594
NRG3	GABRQ	0.511
LHX2	DMRTA2	0.408
LHX2	TFAP2A	0.41
LHX2	ZIC2	0.445
LHX2	POU4F1	0.469
LHX2	SP8	0.52
LHX2	FEZF1	0.554
PCDH15	ADGB	0.423
PCDH15	GJB6	0.448
PCDH15	LHFPL3	0.604
PCDH15	USH1G	0.984
AGER	F11	0.45
FOXE1	TFAP2A	0.419
PADI3	PADI1	0.436
ZIC2	TFAP2A	0.4
KRT6A	SERPINB5	0.544
ADRA1A	GABRQ	0.515
TRIM71	HMGA2	0.422
CHRNA2	CHRM2	0.684
CCDC141	FEZF1	0.447
PRAME	MAGEA3	0.777
FAM216B	ANKRD66	0.491
PITX2	TFAP2A	0.701
