category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	2/79	214/8790	0.00934579439252336	1.03986750266178	0.0562254323169359	0.577195429902781	1	1	6258/177	2
Human Diseases	Drug resistance: antineoplastic	hsa01522	Endocrine resistance	1/79	96/8790	0.0104166666666667	1.15901898734177	0.149184620231838	0.581650665167199	1	1	114	1
Organismal Systems	Sensory system	hsa04750	Inflammatory mediator regulation of TRP channels	1/79	99/8790	0.0101010101010101	1.12389719984657	0.118057473414787	0.592952917681721	1	1	114	1
Organismal Systems	Endocrine system	hsa04916	Melanogenesis	1/79	101/8790	0.0099009900990099	1.1016418097506	0.0978357206715657	0.600319711562821	1	1	114	1
Human Diseases	Infectious disease: parasitic	hsa05146	Amoebiasis	1/79	102/8790	0.00980392156862745	1.09084139985108	0.0878766047196225	0.603953586897904	1	1	732	1
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	1/79	103/8790	0.00970873786407767	1.08025070664864	0.0780156691578095	0.607554837661609	1	1	1361	1
Organismal Systems	Immune system	hsa04625	C-type lectin receptor signaling pathway	1/79	105/8790	0.00952380952380952	1.05967450271248	0.0585797909795659	0.614660619657903	1	1	10332	1
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	1/79	106/8790	0.00943396226415094	1.0496775734416	0.0490007435667754	0.618165721678286	1	1	6258	1
Human Diseases	Cancer: specific types	hsa05215	Prostate cancer	1/79	106/8790	0.00943396226415094	1.0496775734416	0.0490007435667754	0.618165721678286	1	1	2352	1
Human Diseases	Infectious disease: viral	hsa05171	Coronavirus disease	2/79	234/8790	0.00854700854700855	0.950989938331711	-0.0723614166676284	0.626257465466282	1	1	732/1440	2
Human Diseases	Endocrine and metabolic disease	hsa04931	Insulin resistance	1/79	109/8790	0.00917431192660551	1.02078736499826	0.0207958695082194	0.628493244332866	1	1	28965	1
Environmental Information Processing	Signal transduction	hsa04066	HIF-1 signaling pathway	1/79	110/8790	0.00909090909090909	1.01150747986191	0.0115655415866285	0.63187407991606	1	1	51378	1
Organismal Systems	Endocrine system	hsa04914	Progesterone-mediated oocyte maturation	1/79	110/8790	0.00909090909090909	1.01150747986191	0.0115655415866285	0.63187407991606	1	1	114	1
Human Diseases	Neurodegenerative disease	hsa05022	Pathways of neurodegeneration - multiple diseases	4/79	480/8790	0.00833333333333333	0.927215189873418	-0.15617450251741	0.633019823415484	1	1	779/2890/1128/177	4
Organismal Systems	Immune system	hsa04670	Leukocyte transendothelial migration	1/79	116/8790	0.00862068965517241	0.95918812745526	-0.042136172024958	0.651530448659988	1	1	51208	1
Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	1/79	119/8790	0.00840336134453781	0.935006914158068	-0.0679759547516217	0.660966318984711	1	1	2277	1
Cellular Processes	Transport and catabolism	hsa04145	Phagocytosis	2/79	252/8790	0.00793650793650794	0.883062085593731	-0.179360501712649	0.666609798509823	1	1	10332/250	2
Environmental Information Processing	Signal transduction	hsa04152	AMPK signaling pathway	1/79	122/8790	0.00819672131147541	0.912014940859099	-0.093192007093885	0.67014983205739	1	1	148	1
Organismal Systems	Endocrine system	hsa04919	Thyroid hormone signaling pathway	1/79	122/8790	0.00819672131147541	0.912014940859099	-0.093192007093885	0.67014983205739	1	1	6258	1
Human Diseases	Neurodegenerative disease	hsa05010	Alzheimer disease	3/79	388/8790	0.0077319587628866	0.8603027534908	-0.268016567758593	0.684241986008007	1	1	779/1128/177	3
