id	degree
ALB	614
CTNNB1	583
EGFR	561
AKT1	560
TNF	557
IL6	551
AGT	539
INS	531
FN1	521
IL1B	496
GAPDH	465
EGF	446
SRC	428
CXCL8	427
MMP9	415
TGFB1	402
ESR1	396
CD44	388
ACTB	381
CALML5	375
